,,
Task Name,Duration,Start
Requirements,,
-Create Requirements Doc,,
--Identify Input Functions,30m,
--Identify Output Functions,30m,
--Identify Storage Functions,30m,
--Identify Control Functions,30m,
-Create Use Case Diagram,2hrs,
,,
Design,,
-DB Design,,
--Database relationship diagram,1hr,
--Entity Relationship Diagram,1hr,
--Data flow diagram,1hr,
--Context diagram,1hr,
--Build Tables,,
---Client,30m,
---Employee,30m,
---Children,30m,
---Medical,30m,
---Food,30m,
---Allergies,30m,
---Billing,30m,
---Rates,30m,
---Alerts,30m,
---Incidents,30m,
---Events,30m,
--Normalize Tables,2hrs,
,,
-Design Module,,
--Employee,30m,
--Client,30m,
--Children,30m,
--Search/Query,1hr,
,,
-UI Design,,
--Create Wireframes,2hrs,
,,
,,
Build,,
-Setup software on teams computers,,
--Setup version control,30m,
--Download and setup language verifiers,1hr,
-Build the program,,
--Setup a repository in GitHub,30m,
--Assign projects based on design and resources,30m,
---Database,,
----Build the modules for the database,10days,
----Feed test data into each module after completed,2hrs,
---Web app,10days,
---PHP,10days,
,,
,,
,,
Test,,
-Create Test Data,1hr,
-Test Cases,,
--Yield known results,2hrs,
--Unknown Results,8hrs,
--Process Flow,2hrs,
--Edits,8hrs,
